ident,display_name
GCA_000091045.1,Cryptococcus neoformans var. neoformans JEC21
GCA_000149245.3,Cryptococcus neoformans var. grubii H99
GCA_000780515.1,Escherichia coli
GCA_001483345.1,Saccharomyces pastorianus
GCA_001739935.1,Saccharomyces cerevisiae
GCA_003270815.1,Saccharomyces cerevisiae
GCA_005153965.1,Bacillus subtilis
GCA_005154485.1,Enterococcus faecalis
GCA_005154665.1,Listeria monocytogenes
GCA_005341425.1,Limosilactobacillus fermentum
GCA_006364795.1,Pseudomonas aeruginosa
GCA_006370475.1,Escherichia coli
GCA_006370485.1,Staphylococcus aureus
GCA_006370495.1,Salmonella enterica
GCA_006992865.1,Cryptococcus neoformans AD hybrid
GCA_007682135.1,Bacillus paranthracis
GCA_012275245.1,Saccharomyces cerevisiae
GCA_900143315.1,Escherichia coli
