intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
15784000,0.23047046111614053,0.626946298061646,0.23047046111614053,0.23047046111614053,,,,"GCA_006992865.1 Cryptococcus neoformans AD hybrid strain=CBS 132, ASM699286v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,8ee760caa4fa863a3ccfc6d56032ecf3,0.626946298061646,15784000,0,52702000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans AD hybrid
11327000,0.16539146686914113,0.9757904712673386,0.165376865344742,0.165376865344742,,,,"GCA_012275245.1 Saccharomyces cerevisiae strain=FDAARGOS_613, ASM1227524v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,600790316485b4b59aa888889852952c,0.9758766261738606,11326000,1,41376000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae
7395000,0.10797827293169407,0.6765782250686185,0.10797827293169407,0.10797827293169407,,,,"GCA_000780515.1 Escherichia coli strain=blood-2011-0167, ASM78051v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,2aff86d3dce82c19adaf5f4309d1a958,0.6765782250686185,7395000,2,33981000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
4695000,0.06855415705399644,0.9838160136286201,0.06745904272406039,0.06745904272406039,,,,"GCA_006370495.1 Salmonella enterica strain=FDAARGOS_609, ASM637049v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,c9a5e6546cc2b76efa755bdbd0462f68,0.9997870528109029,4620000,3,29361000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
3966000,0.05790964576701808,0.9977358490566037,0.05790964576701808,0.05790964576701808,,,,"GCA_005153965.1 Bacillus subtilis strain=NRS 231, ASM515396v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,9a16673357f0dffc8a00c5f05d27ec14,0.9977358490566037,3966000,4,25395000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis
5222000,0.07624916041234706,0.43261163734776725,0.04668107350407383,0.04668107350407383,,,,"GCA_900143315.1 Escherichia coli, Hp_23-13_05",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,6635427eeb83ff327943230742f0ca5c,0.7066305818673884,3197000,5,22198000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
2814000,0.04108868965920042,0.9996447602131439,0.04108868965920042,0.04108868965920042,,,,"GCA_005154665.1 Listeria monocytogenes strain=Li 2108, ASM515466v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,2a5dc9e51dfd26eb431807bf36c06d87,0.9996447602131439,2814000,6,19384000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria monocytogenes
2714000,0.03962853721928569,0.9981597350018403,0.0395993341704874,0.0395993341704874,,,,"GCA_006370485.1 Staphylococcus aureus strain=FDAARGOS_612, ASM637048v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,1b4ca5bc219cbbca4f200247afb17164,0.9988958410011042,2712000,7,16672000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus
10267000,0.14991385100604504,0.09960852544584602,0.0267499926992378,0.0267499926992378,,,,"GCA_000091045.1 Cryptococcus neoformans var. neoformans JEC21 strain=JEC21, ASM9104v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,7b1028bc46b0fcaa626a2a691e6ba918,0.5582318399304045,1832000,8,14840000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans;Cryptococcus neoformans var. neoformans JEC21
1802000,0.026311946967263383,0.9983361064891847,0.02628274391846509,0.02628274391846509,,,,"GCA_005341425.1 Lactobacillus fermentum strain=B1 28, ASM534142v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,29be1cadee9f22f6da68f82cda6b223a,0.9994453688297282,1800000,9,13040000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus fermentum
6841000,0.09988902841456648,0.26268089460605176,0.026238939345267647,0.026238939345267647,,,,"GCA_006364795.1 Pseudomonas aeruginosa strain=FDAARGOS_610, ASM636479v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,c3ffb9dc69b98f11fa4657761daaed47,1.0,1797000,10,11243000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
8368000,0.12218555617206436,0.0911425605158188,0.024355342697777647,0.024355342697777647,,,,"GCA_000149245.3 Cryptococcus neoformans var. grubii H99 strain=H99, CNA3",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,de72fb4b698dc17dcb74717103c67efa,0.4572427736189279,1668000,11,9575000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans;Cryptococcus neoformans var. grubii H99
2810000,0.041030283561603834,0.35988620199146515,0.014776742691937038,0.014776742691937038,,,,"GCA_005154485.1 Enterococcus faecalis strain=110, ASM515448v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,54d24bed7345e42236586a44e195b8d7,0.9992887624466572,1012000,12,8563000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
4690000,0.0684811494320007,0.1997867803837953,0.013681628362000993,0.013681628362000993,,,,"GCA_006370475.1 Escherichia coli strain=FDAARGOS_608, ASM637047v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,358d43650b32f669c1ae869a78781461,1.0,937000,13,7626000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
10632000,0.15524340741173379,0.024191165607918452,0.009563998481441462,0.009563998481441462,,,,"GCA_001483345.1 Saccharomyces pastorianus strain=Hybrid yeast 7, ASM148334v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,ffb0ec85fb9f64cd8bd01a2cb5561349,0.39267247747082284,655000,14,6971000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces pastorianus
527000,0.007695003358350612,0.09593555474185281,0.00765119878515317,0.00765119878515317,,,,"GCA_007682135.1 Bacillus paranthracis strain=DE0088, ASM768213v1",/group/ctbrowngrp/genbank/genbank-2020.07-bacteria-k31.zip,ff17399d910434e37285bca22d832175,0.09648480410106189,524000,15,6447000,,SRR12324253-known,748a5dc1,68486000,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus paranthracis
10330000,0.1508337470431913,0.025110132158590308,0.004161434453756972,0.004161434453756972,,,,"GCA_003270815.1 Saccharomyces cerevisiae strain=JT10.10, ASM327081v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,2ace0b660e617560624309b50f6c6332,0.9101321585903084,285000,16,6162000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae
10448000,0.1525567269222907,0.012962157459765115,0.0021756271354729435,0.0021756271354729435,,,,"GCA_001739935.1 Saccharomyces cerevisiae strain=beer063, ASM173993v1",/group/ctbrowngrp/genbank/genbank-2020.07-fungi-k31.zip,b913a1debb2b766f09f61588f7341b95,0.908916920400174,149000,17,6013000,,SRR12324253-known,748a5dc1,68486000,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae
