,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_010669205,6197116,485328,7.83151388484579,25.055396736159206,27.18434227600884,5711788.0,GCA_010669205,p8808mo11
GCA_000433395,5587080,13274,0.2375838541778532,15.577709107440738,15.614807368609528,5573806.0,GCA_000433395,p8808mo11
GCA_012980355,5136199,32503,0.6328220538183976,49.386502158502815,49.701021181512374,5103696.0,GCA_012980355,p8808mo11
GCA_001405335,5514222,565988,10.264149684216559,37.890900837869786,42.224930955165014,4948234.0,GCA_001405335,p8808mo11
GCA_011317135,6305034,1302308,20.65505118608401,5.759682184108762,7.259040770971667,5002726.0,GCA_011317135,p8808mo11
GCA_000189615,4916964,357706,7.274936322494938,18.949609555815336,20.436340299232903,4559258.0,GCA_000189615,p8808mo11
GCA_000183585,4099852,182378,4.448404478990949,94.24192605001352,98.62935886747431,3917474.0,GCA_000183585,p8808mo11
GCA_001059475,3121288,5935,0.1901458628617417,16.974352574962644,17.00669009258341,3115353.0,GCA_001059475,p8808mo11
GCA_000433055,3140661,45146,1.4374680998681488,43.79468398531392,44.43339993506734,3095515.0,GCA_000433055,p8808mo11
GCA_004343035,3167958,254569,8.035744160749607,10.193564434882028,11.08426784064881,2913389.0,GCA_004343035,p8808mo11
GCA_001949465,3521770,597635,16.969733968998543,9.222551728250282,11.107457761013086,2924135.0,GCA_001949465,p8808mo11
GCA_001406815,3334694,378226,11.342150134315172,234.96302539303457,265.0222464778919,2956468.0,GCA_001406815,p8808mo11
GCA_002865285,3072153,396668,12.911726727151935,216.67919078249034,248.80409570601216,2675485.0,GCA_002865285,p8808mo11
GCA_000242155,5668091,2484274,43.82911283534439,6.834864330865542,12.167983586996362,3183817.0,GCA_000242155,p8808mo11
GCA_902362985,3257633,521410,16.005793163318273,4.999214460315204,5.95185626317738,2736223.0,GCA_902362985,p8808mo11
GCA_900066185,3017817,464142,15.380057836508973,10.907073225447402,12.889483195786465,2553675.0,GCA_900066185,p8808mo11
GCA_900066685,3141706,377990,12.03136130497252,13.07233744978047,14.860224784312136,2763716.0,GCA_900066685,p8808mo11
GCA_005844125,3726442,890365,23.893166725793666,7.868179888483438,10.338335665780585,2836077.0,GCA_005844125,p8808mo11
GCA_002160695,2823132,516909,18.309770850247173,5.571864510763223,6.8207233212052785,2306223.0,GCA_002160695,p8808mo11
GCA_004683745,2625535,361184,13.756586752795144,15.880016834664174,18.413019889584255,2264351.0,GCA_004683745,p8808mo11
GCA_902363725,2855693,614104,21.504552485158595,62.40310530578742,79.49901208473096,2241589.0,GCA_902363725,p8808mo11
GCA_900540465,2458610,616605,25.079414791284506,4.038559999349226,5.39045442330504,1842005.0,GCA_900540465,p8808mo11
GCA_000432335,2881161,1036558,35.97709395622112,2.1929614485271736,3.425276333173046,1844603.0,GCA_000432335,p8808mo11
GCA_002005185,2178518,269040,12.349679920019023,28.495304606158864,32.51021169136277,1909478.0,GCA_002005185,p8808mo11
GCA_900555025,2112367,653152,30.920384573324615,30.95479336687233,44.81031513519256,1459215.0,GCA_900555025,p8808mo11
GCA_003284655,3609629,2148455,59.52010580588753,0.9016868492579154,2.2274930980157053,1461173.9999999998,GCA_003284655,p8808mo11
GCA_009712365,3268334,1952424,59.737591078512786,0.8142074830785349,2.022252281690997,1315910.0,GCA_009712365,p8808mo11
GCA_902859015,2252923,752303,33.392308569800214,2.0216376680428048,3.035141474857059,1500619.9999999998,GCA_902859015,p8808mo11
GCA_000179755,2151913,851104,39.55104132927307,1.9255202231688735,3.185365414907185,1300809.0,GCA_000179755,p8808mo11
GCA_900542375,1947109,1082020,55.57059209320074,0.9049246857777351,2.0367696271713087,865089.0000000001,GCA_900542375,p8808mo11
GCA_900013605,4771473,3754725,78.69110859476727,1.2537006915893687,5.883462765601703,1016748.0000000005,GCA_900013605,p8808mo11
GCA_010604095,2173350,1484751,68.31623990613569,0.6493818298939426,2.049573118752714,688599.0,GCA_010604095,p8808mo11
GCA_900549765,3436851,2548095,74.1403977070871,0.4556249310778966,1.7619177817083655,888755.9999999999,GCA_900549765,p8808mo11
GCA_001808725,2093215,1078152,51.50698805426103,1.2196229245443015,2.515048819629915,1015063.0,GCA_001808725,p8808mo11
GCA_902167545,2402824,1712378,71.26522791515318,0.48950068752434633,1.7035133812057714,690445.9999999999,GCA_902167545,p8808mo11
GCA_900011355,4197751,3459592,82.41536956336857,0.31786258880052676,1.8076159743361528,738159.0000000003,GCA_900011355,p8808mo11
GCA_000180075,2022289,1644800,81.33357794064054,0.3807205597221762,2.03960115394091,377488.99999999994,GCA_000180075,p8808mo11
GCA_002160935,3632099,3266004,89.9205665924855,0.926243199868726,9.189437167948215,366095.00000000023,GCA_002160935,p8808mo11
GCA_000215025,2152140,1565818,72.7563262613027,3.1369334708708543,11.514355593001799,586321.9999999999,GCA_000215025,p8808mo11
GCA_900764525,1744725,1228899,70.43511155053089,11.353388069753112,38.401592785163984,515825.9999999999,GCA_900764525,p8808mo11
GCA_005845095,2980101,2689256,90.24043144846434,0.42317022141195887,4.335952139455724,290845.0,GCA_005845095,p8808mo11
GCA_900217175,3970462,3435044,86.5149697944471,0.2255694677344853,1.672739803293875,535418.0,GCA_900217175,p8808mo11
GCA_001688625,3818478,3455473,90.49346362608348,1.0182669639578912,10.711229872866765,363005.0,GCA_001688625,p8808mo11
GCA_003850125,3604770,3339277,92.63495313154515,0.3574749567933599,4.853668458302104,265492.9999999999,GCA_003850125,p8808mo11
GCA_900759455,1901334,1325963,69.73856250401035,0.5149137395113116,1.701550825467394,575370.9999999999,GCA_900759455,p8808mo11
GCA_001405615,3567818,2627630,73.64809527840265,12.96860097684355,49.21314460512154,940188.0000000002,GCA_001405615,p8808mo11
GCA_900447015,5827564,5357466,91.93319884603584,1.4085228407615944,17.460735846568152,470098.00000000023,GCA_900447015,p8808mo11
GCA_001405075,2732957,2227927,81.52074840548168,0.30296927467208595,1.6395105241272794,505030.00000000006,GCA_001405075,p8808mo11
GCA_003434745,5971889,5696602,95.39028605521636,0.4267376704423006,9.257356867560041,275286.9999999999,GCA_003434745,p8808mo11
GCA_001405015,3449564,2934913,85.08069425585379,0.28370078073634813,1.9015682472199609,514651.0,GCA_001405015,p8808mo11
GCA_000424325,4943165,4635998,93.78602575475429,1.071490027138483,17.243232508700466,307167.00000000023,GCA_000424325,p8808mo11
GCA_001431025,2701966,2247264,83.1714388708074,0.5034959729323019,2.9919133850301947,454702.00000000006,GCA_001431025,p8808mo11
GCA_900106845,3112481,2729450,87.69370800978383,0.5328729717546871,4.330085554432931,383031.00000000006,GCA_900106845,p8808mo11
GCA_000513015,2595274,2405160,92.67460776781179,0.9621215332176872,13.134061668262204,190114.00000000026,GCA_000513015,p8808mo11
GCA_013303985,5248276,4939276,94.11235232293424,0.5850246823909413,9.936475728155337,308999.99999999953,GCA_013303985,p8808mo11
GCA_900447045,3627436,3453700,95.21050130174592,0.3869278465560798,8.078671087166741,173735.99999999985,GCA_900447045,p8808mo11
GCA_900759275,3237357,2993960,92.48161385970099,0.15998698938671269,2.1279432367695574,243397.00000000003,GCA_900759275,p8808mo11
GCA_002159775,2632364,2467280,93.72867886052232,0.24679337659989273,3.9352693174383955,165084.00000000026,GCA_002159775,p8808mo11
GCA_013300925,2774987,2433510,87.69446487497059,4.642506073001423,37.72697429109429,341476.9999999999,GCA_013300925,p8808mo11
GCA_000371545,6033914,5683899,94.19920469532711,1.3596287583813758,23.438661200234268,350015.0000000002,GCA_000371545,p8808mo11
GCA_000244855,3793219,3439467,90.67409501006928,2.2918104649375635,24.574670955923935,353752.00000000023,GCA_000244855,p8808mo11
GCA_900766315,3926186,3580058,91.18411608619662,0.14164407901204884,1.6066917440946704,346128.00000000035,GCA_900766315,p8808mo11
GCA_001071295,2277235,2117168,92.97099333182565,0.11087964131940709,1.5774581893831958,160067.0,GCA_001071295,p8808mo11
GCA_002865385,3060122,2419416,79.06273017873144,9.797972106994427,46.796799155931105,640705.9999999998,GCA_002865385,p8808mo11
GCA_000433835,2961274,2844234,96.04764706001538,0.12736646456896591,3.222547846889951,117040.00000000003,GCA_000433835,p8808mo11
GCA_902810435,2146482,1941502,90.45042073495142,0.7665030501071055,8.026563567177284,204980.00000000006,GCA_902810435,p8808mo11
GCA_901212615,3923577,3763366,95.91671069536802,0.3370269017276837,8.253809039329376,160211.00000000015,GCA_901212615,p8808mo11
GCA_900540565,2324284,1936501,83.31602334310266,0.25045003106332964,1.5011411021112326,387782.99999999994,GCA_900540565,p8808mo11
GCA_003605975,2189293,2056751,93.94589942963322,0.2006611266742277,3.3144663578337417,132542.00000000006,GCA_003605975,p8808mo11
GCA_002161525,3290783,3141631,95.46758324690506,0.25781675668070486,5.688284434670666,149152.00000000015,GCA_002161525,p8808mo11
GCA_000508985,3446523,3229741,93.71012466767232,0.8547475238087777,13.589260178428109,216781.99999999983,GCA_000508985,p8808mo11
GCA_902374605,4907161,4415651,89.98382160275564,0.9134444539317133,9.11969034200728,491510.0000000002,GCA_902374605,p8808mo11
GCA_902363795,7470188,7121326,95.3299435034299,0.48492246781473236,10.383653135050542,348861.99999999977,GCA_902363795,p8808mo11
GCA_001679455,2125877,1780417,83.74976539094219,0.24806750343505293,1.526547212412436,345459.99999999994,GCA_001679455,p8808mo11
GCA_009856565,1948689,1796012,92.16514282166112,0.10673021708440905,1.3622484067672276,152677.0000000002,GCA_009856565,p8808mo11
GCA_009718425,3596207,3242406,90.16182883799515,4.353608677142334,44.252215228334556,353800.99999999977,GCA_009718425,p8808mo11
GCA_011062745,3360461,3307168,98.41411639653012,0.034050982885979034,2.147130017075409,53293.00000000011,GCA_011062745,p8808mo11
GCA_003434525,3127194,2821050,90.21026517702451,2.2483510776753857,22.966414497752698,306144.00000000023,GCA_003434525,p8808mo11
GCA_000451045,6911196,6729500,97.37099049137082,0.03751275466648609,1.4268778619232119,181695.9999999993,GCA_000451045,p8808mo11
GCA_002871975,2107861,1823541,86.51144454022348,0.20706393827676492,1.5351083286437819,284319.99999999994,GCA_002871975,p8808mo11
GCA_002096765,2107278,1802124,85.51904399894082,0.2303208214578238,1.5905083990378628,305154.0,GCA_002096765,p8808mo11
GCA_000435835,3093482,2864058,92.58363229525823,0.11877230900325264,1.6014889462305597,229424.00000000003,GCA_000435835,p8808mo11
GCA_900757715,2570820,2429814,94.51513524867552,0.6042908488342241,11.017424790434449,141006.00000000003,GCA_900757715,p8808mo11
GCA_003467385,6740239,6652227,98.69423027877795,0.04695738533900652,3.5961459800936284,88011.99999999988,GCA_003467385,p8808mo11
GCA_002893375,37400776,37130799,99.278151341031,0.023844050722370037,3.303192494175415,269976.99999999703,GCA_002893375,p8808mo11
GCA_900543325,3186188,3031141,95.13377741677516,0.07471090845863458,1.5352957490309391,155047.0,GCA_900543325,p8808mo11
GCA_000448685,2100988,2047923,97.47428352755942,0.042813666712994074,1.6951097710355212,53064.9999999998,GCA_000448685,p8808mo11
GCA_000526735,3724077,3400098,91.30042155411931,4.772849755791838,54.86300037965423,323979.0,GCA_000526735,p8808mo11
GCA_001078415,3037525,2962086,97.51643196352293,0.11100056789656053,4.469399117167509,75439.00000000007,GCA_001078415,p8808mo11
GCA_001070095,1916254,1568745,81.8651911489813,0.2764857894621485,1.5246137510107654,347508.99999999994,GCA_001070095,p8808mo11
GCA_902363185,4030172,3948081,97.9630894165311,0.14806886653969112,7.269286523492208,82091.00000000017,GCA_902363185,p8808mo11
GCA_003479915,4726865,4533345,95.9059545808903,1.2862440539342672,31.41743489045061,193519.9999999999,GCA_003479915,p8808mo11
GCA_000699845,5420066,5164433,95.28358141764325,0.054874055039182176,1.163468722739238,255633.0000000003,GCA_000699845,p8808mo11
GCA_000154305,3606936,3533563,97.96578037425671,0.08356982214267178,4.108200564240243,73373.00000000015,GCA_000154305,p8808mo11
GCA_009678825,2521220,2336543,92.6750938037934,0.08524444514957044,1.1637615945678137,184676.99999999985,GCA_009678825,p8808mo11
GCA_900756445,2993332,2802035,93.6092287791665,1.6469439407322677,25.770660282179037,191296.99999999988,GCA_900756445,p8808mo11
GCA_000980625,4890836,4751589,97.15289983143985,0.16516930847814157,5.801317084030545,139247.0000000003,GCA_000980625,p8808mo11
GCA_000758945,1527867,1225641,80.21908975061311,0.3234692548500622,1.6352597063124952,302226.00000000006,GCA_000758945,p8808mo11
