,k=31
0.fa,1.0
18.fa,1.0
21.fa,0.9998
1.fa,0.9998
43.fa,0.9996
59.fa,0.9996
39.fa,0.9996
12.fa,0.9996
30.fa,0.9994
31.fa,0.9994
53.fa,0.9994
60.fa,0.9994
56.fa,0.9994
2.fa,0.9994
40.fa,0.9994
42.fa,0.9992
52.fa,0.9992
36.fa,0.9992
13.fa,0.999
14.fa,0.9988
57.fa,0.9986
15.fa,0.9986
10.fa,0.9984
29.fa,0.9984
25.fa,0.9984
62.fa,0.9984
22.fa,0.9982
54.fa,0.9978
35.fa,0.9968
28.fa,0.996
34.fa,0.995
3.fa,0.9942
9.fa,0.9942
26.fa,0.9942
11.fa,0.9942
4.fa,0.994
50.fa,0.994
51.fa,0.9928
33.fa,0.9918
37.fa,0.9898
8.fa,0.9884
48.fa,0.9838
27.fa,0.9798
46.fa,0.9782
45.fa,0.977
47.fa,0.9742
16.fa,0.9698
61.fa,0.9524
38.fa,0.9516
63.fa,0.9476
6.fa,0.9324
7.fa,0.9046
24.fa,0.894
41.fa,0.8938
32.fa,0.8932
5.fa,0.779
55.fa,0.736
19.fa,0.6178
17.fa,0.5958
44.fa,0.5776
58.fa,0.5642
49.fa,0.5542
23.fa,0.5224
20.fa,0.134
66.fa,0.1306
67.fa,0.1222
64.fa,0.0208
65.fa,0.01
