,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_003446605,2659334,9272,0.3486587243272188,11.940134635213177,11.981910611902665,2650062.0,GCA_003446605,SRR1976948
GCA_003500195,2512164,11309,0.45016965452892405,13.283225537823167,13.34329299379612,2500855.0,GCA_003500195,SRR1976948
GCA_002503885,2582043,8673,0.3358968072956182,110.45661168307421,110.8288823604845,2573370.0,GCA_002503885,SRR1976948
GCA_003451675,2569411,2086,0.08118592159837411,180.2560080890134,180.4024694964603,2567325.0,GCA_003451675,SRR1976948
GCA_003445665,2541804,5491,0.2160276716851496,179.48321349718546,179.87178632921095,2536313.0,GCA_003445665,SRR1976948
GCA_001508695,2629228,94736,3.6031869430874766,27.83190541101799,28.872225676782566,2534492.0,GCA_001508695,SRR1976948
GCA_001509375,2382964,9264,0.38875954483575914,523.91893457056,525.9636685343556,2373700.0,GCA_001509375,SRR1976948
GCA_002305765,3568523,572172,16.033860507554525,4.58811951050897,5.464249682363649,2996351.0,GCA_002305765,SRR1976948
GCA_001508275,2228088,7672,0.3443311036188876,17.278453095209883,17.338153751369113,2220416.0,GCA_001508275,SRR1976948
GCA_003454055,2358604,9344,0.39616654597380485,7.833190734858416,7.864346645326614,2349260.0,GCA_003454055,SRR1976948
GCA_001508575,2118879,925,0.043655159166710325,99.24705941207591,99.29040479632702,2117954.0,GCA_001508575,SRR1976948
GCA_002896535,3205299,231777,7.231057071430778,15.446293777897164,16.650285419109057,2973522.0,GCA_002896535,SRR1976948
GCA_001509005,2173293,8186,0.3766634319440591,17.267175203711602,17.33246024330437,2165107.0,GCA_001509005,SRR1976948
GCA_003512065,2087471,30797,1.4753258847667823,48.37066479007373,49.094975674316885,2056674.0,GCA_003512065,SRR1976948
GCA_002435945,2866329,453812,15.832516085906398,27.340708620678228,32.48369482992244,2412517.0,GCA_002435945,SRR1976948
GCA_003513845,2115883,203252,9.606013186929523,33.810940396987924,37.40397076069561,1912630.9999999998,GCA_003513845,SRR1976948
GCA_003485325,2119431,28065,1.3241761586010585,203.69318416122064,206.4266364663096,2091366.0,GCA_003485325,SRR1976948
GCA_011620455,2456450,357856,14.568014818131857,3.276603228235869,3.8353354674605953,2098594.0,GCA_011620455,SRR1976948
GCA_001508395,1772227,4941,0.27880175620843156,21.628022821004308,21.688490714010072,1767286.0,GCA_001508395,SRR1976948
GCA_001508485,1716233,28513,1.6613711541498153,13.412776703396334,13.639377384874269,1687720.0,GCA_001508485,SRR1976948
GCA_002452835,2015385,149670,7.426372628554842,64.11148391002216,69.25458765138299,1865715.0,GCA_002452835,SRR1976948
GCA_003445515,1938876,122644,6.325520559334377,30.25706027616,32.300217152874744,1816232.0,GCA_003445515,SRR1976948
GCA_003445715,1672425,16848,1.00739943495224,18.796102665291418,18.987381438616264,1655577.0,GCA_003445715,SRR1976948
GCA_001509385,1601429,46177,2.8834871855074438,7.7068742978926945,7.9356991664373355,1555252.0,GCA_001509385,SRR1976948
GCA_001509095,1333167,1262,0.09466180906068032,82.51855618988469,82.59674376175478,1331905.0,GCA_001509095,SRR1976948
GCA_000013405,3179300,1294056,40.70254458528607,1.448748152108955,2.4431877253024012,1885244.0,GCA_000013405,SRR1976948
GCA_002383685,1977963,484233,24.48139828702559,4.349631919302839,5.759682807468552,1493730.0,GCA_002383685,SRR1976948
GCA_011620695,1762187,843864,47.88731275398128,6.127972229961974,11.759079321763695,918322.9999999999,GCA_011620695,SRR1976948
GCA_002497965,1555109,145950,9.385194221112474,45.73623392315265,50.47324609926914,1409159.0,GCA_002497965,SRR1976948
GCA_001509035,1127556,2752,0.24406770040689776,15.09775124251035,15.134690132680895,1124804.0,GCA_001509035,SRR1976948
GCA_003429665,2927075,1628720,55.64326161782667,0.8815872500704628,1.987493405116474,1298355.0,GCA_003429665,SRR1976948
