,n_chrom,n_snps,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_006992865,538,51332,27181434,6002809,22.084224842589247,2.338857508400771,3.001776602588695,21178626,GCA_006992865,SRR12324253
GCA_012275245,61,36192,14455402,522031,3.6113212209525547,8.154918140636974,8.460452248059713,13933372,GCA_012275245,SRR12324253
GCA_000780515,962,127859,11222606,1315560,11.722410997944683,549.8515534627162,622.8665278227234,9907046,GCA_000780515,SRR12324253
GCA_006370495,1,10363,4832922,380,0.007862738111643432,823.9813816568941,824.0461742494944,4832542,GCA_006370495,SRR12324253
GCA_005153965,1,183,4090959,10983,0.2684700579986258,105.5746694112554,105.85886877765947,4079976,GCA_005153965,SRR12324253
GCA_900143315,1335,66060,7602554,1090368,14.342127658678912,601.5064813745486,702.2197317459912,6512186,GCA_900143315,SRR12324253
GCA_005154665,1,375,3012854,1690,0.05609299355362059,95.64301356786622,95.6966927075377,3011164,GCA_005154665,SRR12324253
GCA_006370485,1,179,2766893,1780,0.06433208656785788,245.7862024299458,245.94442360945104,2765114,GCA_006370485,SRR12324253
GCA_000091045,14,256168,19051922,3294279,17.29105861340394,2.7338173020023913,3.3053467450684093,15757644,GCA_000091045,SRR12324253
GCA_005341425,1,119,1905587,91,0.004775431402502221,477.7477380985492,477.7705537036027,1905496,GCA_005341425,SRR12324253
GCA_006364795,1,30,6792215,0,0.0,509.0694059301715,509.0694059301715,6792216,GCA_006364795,SRR12324253
GCA_000149245,15,332784,18916112,4521086,23.900714903781495,2.559449796025737,3.3633033382503092,14395026,GCA_000149245,SRR12324253
GCA_005154485,1,2,2865654,1444,0.05038989354611548,495.31629568677863,495.56601087210777,2864210,GCA_005154485,SRR12324253
GCA_006370475,2,11204,4893005,244,0.004986710620569568,805.6224095417847,805.662585603507,4892762,GCA_006370475,SRR12324253
GCA_001483345,1998,61572,32325519,17623010,54.51733041007014,4.452283875163768,9.788967787742896,14702509,GCA_001483345,SRR12324253
GCA_007682135,67,5999,5500155,4746863,86.30416779163497,4.946018975828863,36.11331462434223,753292,GCA_007682135,SRR12324253
GCA_003270815,74,76408,11698785,193667,1.655445415912849,10.954081470853597,11.13847280836233,11505118,GCA_003270815,SRR12324253
GCA_001739935,178,76452,12322823,576210,4.675957773636771,10.544124020932541,11.0613479817544,11746614,GCA_001739935,SRR12324253
