ident,display_name
GCA_000154305.1,Anaerostipes caccae L1-92
GCA_000179755.1,Veillonella atypica ACS-134-V-Col7a
GCA_000180075.1,Streptococcus vestibularis F0396
GCA_000183585.2,Clostridium sp. HGF2
GCA_000189615.1,[Clostridium] symbiosum WAL-14673
GCA_000215025.2,Veillonella parvula ACS-068-V-Sch12
GCA_000242155.1,Lachnospiraceae bacterium 7_1_58FAA
GCA_000244855.1,Coprobacillus sp. 8_2_54BFAA
GCA_000371545.1,[Clostridium] clostridioforme 90A6
GCA_000424325.1,[Clostridium] clostridioforme AGR2157
GCA_000432335.1,Firmicutes bacterium CAG:646
GCA_000433055.1,Coprobacillus sp. CAG:183
GCA_000433395.1,Clostridium hathewayi CAG:224
GCA_000433835.1,Clostridium bartlettii CAG:1329
GCA_000435835.1,Clostridium sp. CAG:221
GCA_000448685.2,Streptococcus salivarius
GCA_000451045.2,Clostridioides difficile Y384
GCA_000508985.1,Clostridiales bacterium VE202-09
GCA_000513015.1,Bifidobacterium sp. MSTE12
GCA_000526735.1,[Ruminococcus] gnavus AGR2154
GCA_000699845.1,Phocaeicola vulgatus str. 3775 SR(B) 19
GCA_000758945.1,Lancefieldella parvulum DNF00906
GCA_000980625.1,Roseburia sp. UNK.MGS-15
GCA_001059475.1,Bifidobacterium scardovii
GCA_001070095.1,Streptomyces cattleya
GCA_001071295.1,Streptococcus parasanguinis
GCA_001078415.1,Clostridium sp. 1_1_41A1FAA
GCA_001405015.1,Clostridium disporicum
GCA_001405075.1,Turicibacter sanguinis
GCA_001405335.1,Enterocloster clostridioformis
GCA_001405615.1,Roseburia faecis
GCA_001406815.1,Roseburia faecis
GCA_001431025.1,Veillonella sp. DORA_A_3_16_22
GCA_001679455.1,Haemophilus parainfluenzae
GCA_001688625.2,Flavonifractor plautii
GCA_001808725.1,Streptococcus sp. HMSC074F05
GCA_001949465.1,Clostridium perfringens
GCA_002005185.1,Veillonella parvula
GCA_002096765.1,Streptococcus mitis
GCA_002159775.1,[Clostridium] spiroforme
GCA_002160695.1,[Clostridium] spiroforme
GCA_002160935.1,Drancourtella sp. An12
GCA_002161525.1,Drancourtella sp. An57
GCA_002865285.1,[Ruminococcus] gnavus
GCA_002865385.1,[Ruminococcus] gnavus
GCA_002871975.1,Actinomyces graevenitzii
GCA_002893375.1,Cyclospora cayetanensis
GCA_003284655.1,Clostridium paraputrificum
GCA_003434525.1,Lachnospiraceae bacterium AM25-22
GCA_003434745.1,Dorea longicatena
GCA_003467385.1,Enterocloster aldenensis
GCA_003479915.1,Ruminococcus sp. AM46-18
GCA_003605975.1,Veillonella atypica
GCA_003850125.1,Clostridium perfringens
GCA_004343035.1,Longibaculum muris
GCA_004683745.1,Bifidobacterium dentium
GCA_005844125.1,Pseudoflavonifractor sp. BSD2780061688st1 E11
GCA_005845095.1,Intestinibacter bartlettii
GCA_009678825.1,Megasphaera sp. BIOML-A2
GCA_009712365.1,Turicibacter sanguinis
GCA_009718425.1,Roseburia faecis
GCA_009856565.1,Streptococcus thermophilus
GCA_010604095.1,Streptococcus vestibularis
GCA_010669205.1,Blautia producta ATCC 27340 = DSM 2950
GCA_011062745.1,Clostridium perfringens
GCA_011317135.1,Enterocloster aldenensis
GCA_012980355.1,Escherichia coli
GCA_013300925.1,Tyzzerella nexilis
GCA_013303985.1,[Clostridium] symbiosum
GCA_900011355.1,Clostridioides difficile
GCA_900013605.1,Clostridioides difficile
GCA_900066185.1,uncultured Ruminococcus sp.
GCA_900066685.1,uncultured Clostridium sp.
GCA_900106845.1,Romboutsia timonensis
GCA_900217175.1,Clostridium tertium
GCA_900447015.1,Enterocloster clostridioformis
GCA_900447045.1,Clostridium paraputrificum
GCA_900540465.1,uncultured Clostridium sp.
GCA_900540565.1,uncultured Actinomyces sp.
GCA_900542375.1,uncultured Oscillospiraceae bacterium
GCA_900543325.1,uncultured Clostridium sp.
GCA_900549765.1,uncultured Eubacteriales bacterium
GCA_900555025.1,uncultured Blautia sp.
GCA_900756445.1,uncultured Tyzzerella sp.
GCA_900757715.1,uncultured Veillonella sp.
GCA_900759275.1,uncultured Intestinibacter sp.
GCA_900759455.1,Erysipelotrichaceae bacterium
GCA_900764525.1,uncultured Blautia sp.
GCA_900766315.1,uncultured Clostridium sp.
GCA_901212615.1,Flavonifractor plautii
GCA_902167545.1,Bifidobacterium longum subsp. longum
GCA_902362985.1,Anaerostipes caccae
GCA_902363185.1,Clostridiales bacterium
GCA_902363725.1,Lachnospiraceae bacterium
GCA_902363795.1,Hungatella hathewayi
GCA_902374605.1,[Clostridium] innocuum
GCA_902810435.1,Veillonella parvula
GCA_902859015.1,Streptococcus salivarius
