acc,genome_url,assembly_report_url,ncbi_tax_name
GCA_000006985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/985/GCA_000006985.1_ASM698v1/GCA_000006985.1_ASM698v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/985/GCA_000006985.1_ASM698v1/GCA_000006985.1_ASM698v1_assembly_report.txt,Chlorobaculum tepidum TLS
GCA_000007185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1/GCA_000007185.1_ASM718v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1/GCA_000007185.1_ASM718v1_assembly_report.txt,Methanopyrus kandleri AV19
GCA_000007225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1/GCA_000007225.1_ASM722v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1/GCA_000007225.1_ASM722v1_assembly_report.txt,Pyrobaculum aerophilum str. IM2
GCA_000007305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1/GCA_000007305.1_ASM730v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1/GCA_000007305.1_ASM730v1_assembly_report.txt,Pyrococcus furiosus DSM 3638
GCA_000007345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1/GCA_000007345.1_ASM734v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1/GCA_000007345.1_ASM734v1_assembly_report.txt,Methanosarcina acetivorans C2A
GCA_000007985.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2/GCA_000007985.2_ASM798v2_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2/GCA_000007985.2_ASM798v2_assembly_report.txt,Geobacter sulfurreducens PCA
GCA_000008085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1/GCA_000008085.1_ASM808v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1/GCA_000008085.1_ASM808v1_assembly_report.txt,Nanoarchaeum equitans Kin4-M
GCA_000008185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1/GCA_000008185.1_ASM818v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1/GCA_000008185.1_ASM818v1_assembly_report.txt,Treponema denticola ATCC 35405
GCA_000008665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1/GCA_000008665.1_ASM866v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1/GCA_000008665.1_ASM866v1_assembly_report.txt,Archaeoglobus fulgidus DSM 4304
GCA_000009145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/145/GCA_000009145.1_ASM914v1/GCA_000009145.1_ASM914v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/145/GCA_000009145.1_ASM914v1/GCA_000009145.1_ASM914v1_assembly_report.txt,Nitrosomonas europaea ATCC 19718
GCA_000009705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/705/GCA_000009705.1_ASM970v1/GCA_000009705.1_ASM970v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/705/GCA_000009705.1_ASM970v1/GCA_000009705.1_ASM970v1_assembly_report.txt,Nostoc sp. PCC 7120 = FACHB-418
GCA_000010305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/305/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/305/GCA_000010305.1_ASM1030v1/GCA_000010305.1_ASM1030v1_assembly_report.txt,Gemmatimonas aurantiaca T-27
GCA_000011105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1/GCA_000011105.1_ASM1110v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1/GCA_000011105.1_ASM1110v1_assembly_report.txt,Pyrococcus horikoshii OT3
GCA_000011205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1/GCA_000011205.1_ASM1120v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1/GCA_000011205.1_ASM1120v1_assembly_report.txt,Sulfurisphaera tokodaii str. 7
GCA_000011585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/585/GCA_000011585.1_ASM1158v1/GCA_000011585.1_ASM1158v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/585/GCA_000011585.1_ASM1158v1/GCA_000011585.1_ASM1158v1_assembly_report.txt,Methanococcus maripaludis S2
GCA_000011965.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/965/GCA_000011965.2_ASM1196v2/GCA_000011965.2_ASM1196v2_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/965/GCA_000011965.2_ASM1196v2/GCA_000011965.2_ASM1196v2_assembly_report.txt,Ruegeria pomeroyi DSS-3
GCA_000012825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/825/GCA_000012825.1_ASM1282v1/GCA_000012825.1_ASM1282v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/825/GCA_000012825.1_ASM1282v1/GCA_000012825.1_ASM1282v1_assembly_report.txt,Bacteroides vulgatus ATCC 8482
GCA_000013645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1/GCA_000013645.1_ASM1364v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1/GCA_000013645.1_ASM1364v1_assembly_report.txt,Paraburkholderia xenovorans LB400
GCA_000015125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1/GCA_000015125.1_ASM1512v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1/GCA_000015125.1_ASM1512v1_assembly_report.txt,Chlorobium phaeobacteroides DSM 266
GCA_000015485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/485/GCA_000015485.1_ASM1548v1/GCA_000015485.1_ASM1548v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/485/GCA_000015485.1_ASM1548v1/GCA_000015485.1_ASM1548v1_assembly_report.txt,Desulfovibrio vulgaris DP4
GCA_000015805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/805/GCA_000015805.1_ASM1580v1/GCA_000015805.1_ASM1580v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/805/GCA_000015805.1_ASM1580v1/GCA_000015805.1_ASM1580v1_assembly_report.txt,Pyrobaculum calidifontis JCM 11548
GCA_000015865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/865/GCA_000015865.1_ASM1586v1/GCA_000015865.1_ASM1586v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/865/GCA_000015865.1_ASM1586v1/GCA_000015865.1_ASM1586v1_assembly_report.txt,Hungateiclostridium thermocellum ATCC 27405
GCA_000016085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/085/GCA_000016085.1_ASM1608v1/GCA_000016085.1_ASM1608v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/085/GCA_000016085.1_ASM1608v1/GCA_000016085.1_ASM1608v1_assembly_report.txt,Chlorobium phaeovibrioides DSM 265
GCA_000016125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1/GCA_000016125.1_ASM1612v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/125/GCA_000016125.1_ASM1612v1/GCA_000016125.1_ASM1612v1_assembly_report.txt,Methanococcus maripaludis C5
GCA_000016385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/385/GCA_000016385.1_ASM1638v1/GCA_000016385.1_ASM1638v1_genomic.fna.gz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/385/GCA_000016385.1_ASM1638v1/GCA_000016385.1_ASM1638v1_assembly_report.txt,Pyrobaculum arsenaticum DSM 13514
