,n_chrom,n_snps,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_010669205,1,5655,6197116,481600,7.771356869873018,25.58281384437535,27.738469282563464,5715516,GCA_010669205,p8808mo11
GCA_000433395,119,2156,5587080,12402,0.22197641701926588,15.863898673367842,15.899191128169196,5574678,GCA_000433395,p8808mo11
GCA_012980355,28,171,5136199,32504,0.6328415234690089,49.93771230437138,50.25575156822654,5103696,GCA_012980355,p8808mo11
GCA_001405335,170,21349,5514222,516117,9.35974286127762,41.87265801050447,46.19653488672207,4998106,GCA_001405335,p8808mo11
GCA_011317135,90,44082,6305034,1119821,17.760744827069924,10.25341068739677,12.467781554971802,5185214,GCA_011317135,p8808mo11
GCA_000189615,39,13443,4916964,302383,6.149790805871265,23.481038909375787,25.019697996416145,4614582,GCA_000189615,p8808mo11
GCA_000183585,49,15248,4099852,169252,4.128246580608276,96.83782195064602,101.00766753167454,3930600,GCA_000183585,p8808mo11
GCA_001059475,103,3220,3121288,5602,0.17947719018559005,17.889643313914,17.92180887290953,3115686,GCA_001059475,p8808mo11
GCA_000433055,138,1097,3140661,44549,1.4184593625354662,44.27116743895632,44.90817160361124,3096112,GCA_000433055,p8808mo11
GCA_004343035,49,4417,3167958,221761,7.000124370335718,12.915149758929886,13.88727637697004,2946198,GCA_004343035,p8808mo11
GCA_001949465,85,18508,3521770,593260,16.845506662842833,11.368123415214509,13.67108734475894,2928510,GCA_001949465,p8808mo11
GCA_001406815,78,24812,3334694,360583,10.813076102335026,244.20315507209958,273.81049194196186,2974112,GCA_001406815,p8808mo11
GCA_002865285,78,14571,3072153,373638,12.16208958342895,227.43316202025093,258.9236935870284,2698516,GCA_002865285,p8808mo11
GCA_000242155,58,39103,5668091,2424790,42.779658971600846,9.65846578680547,16.879427163867923,3243301,GCA_000242155,p8808mo11
GCA_902362985,11,18252,3257633,480195,14.740610744058646,10.90385534527677,12.78903759507863,2777438,GCA_902362985,p8808mo11
GCA_900066185,72,11498,3017817,382724,12.682147393297871,24.05887666482096,27.553216148348465,2635094,GCA_900066185,p8808mo11
GCA_900066685,19,38678,3141706,369174,11.750749433587993,15.888155670836163,18.0037287216162,2772532,GCA_900066685,p8808mo11
GCA_005844125,100,34938,3726442,776160,20.828447081693476,16.99616604793527,21.467516325558034,2950282,GCA_005844125,p8808mo11
GCA_002160695,30,20839,2823132,444541,15.746376719189893,10.714475979160733,12.716931998817786,2378592,GCA_002160695,p8808mo11
GCA_004683745,20,16390,2625535,347853,13.248842616838092,18.174774284098287,20.950468941669644,2277682,GCA_004683745,p8808mo11
GCA_902363725,64,25156,2855693,541757,18.971121895806025,76.73471413068562,94.70045238934871,2313936,GCA_902363725,p8808mo11
GCA_900540465,335,7883,2458610,598800,24.35522510686933,4.681825503028134,6.1892252434388455,1859810,GCA_900540465,p8808mo11
GCA_000432335,76,7120,2881161,979608,34.00046023113599,4.673147734541735,7.080576244785183,1901554,GCA_000432335,p8808mo11
GCA_002005185,1,49168,2178518,230620,10.586095685231887,32.28022444616019,36.10201868886359,1947898,GCA_002005185,p8808mo11
GCA_900555025,310,15385,2112367,617263,29.221390033076638,34.032232088458116,48.0826511065451,1495104,GCA_900555025,p8808mo11
GCA_003284655,75,10801,3609629,2096941,58.09297853048056,3.117905745992178,7.440055715388764,1512688,GCA_003284655,p8808mo11
GCA_009712365,67,3028,3268334,1935541,59.221028205807606,3.853908443873851,9.450724906268263,1332794,GCA_009712365,p8808mo11
