,intersection,containment index,jaccard index
b'data/refs/54.fa',99042.0,0.99042,0.0
b'data/refs/48.fa',99042.0,0.99042,0.005365385645915459
b'data/refs/29.fa',99042.0,0.99042,0.005279553828608958
b'data/refs/18.fa',99041.0,0.99041,0.005556406008732306
b'data/refs/0.fa',99039.0,0.99039,0.01235907335950663
b'data/refs/43.fa',99037.0,0.99037,0.021563393244087438
b'data/refs/21.fa',99037.0,0.99037,0.014076812525500105
b'data/refs/12.fa',99031.0,0.99031,0.005882520838441849
b'data/refs/15.fa',99031.0,0.99031,0.010940066824163373
b'data/refs/62.fa',99031.0,0.99031,0.008103423466877896
b'data/refs/53.fa',99031.0,0.99031,0.005785258289175729
b'data/refs/13.fa',99025.0,0.99025,0.0
b'data/refs/52.fa',99024.0,0.99024,0.0055393866613079115
b'data/refs/59.fa',99021.0,0.99021,0.010621357331326728
b'data/refs/11.fa',99019.0,0.99019,0.009043448943990886
b'data/refs/56.fa',99018.0,0.99018,0.008543894693041884
b'data/refs/2.fa',99017.0,0.99017,0.007971801154350385
b'data/refs/1.fa',99016.0,0.99016,0.004514699430931256
b'data/refs/30.fa',99006.0,0.99006,0.00492191364101403
b'data/refs/60.fa',99004.0,0.99004,0.011602387067589974
b'data/refs/40.fa',99004.0,0.99004,0.0061554990487969604
b'data/refs/57.fa',99000.0,0.99,0.006219118919856896
b'data/refs/8.fa',98998.0,0.98998,0.008548921115957083
b'data/refs/39.fa',98993.0,0.98993,0.006512550745959429
b'data/refs/22.fa',98990.0,0.9899,0.011572700175387503
b'data/refs/36.fa',98990.0,0.9899,0.008980370871571976
b'data/refs/14.fa',98989.0,0.98989,0.015547068566342009
b'data/refs/37.fa',98984.0,0.98984,0.006605993660918235
b'data/refs/50.fa',98980.0,0.9898,0.006871109644633134
b'data/refs/42.fa',98977.0,0.98977,0.005202879022977543
b'data/refs/10.fa',98967.0,0.98967,0.00806274479745333
b'data/refs/31.fa',98959.0,0.98959,0.0051331725528122405
b'data/refs/51.fa',98946.0,0.98946,0.0056574273065374
b'data/refs/3.fa',98918.0,0.98918,0.006551836392929175
b'data/refs/25.fa',98918.0,0.98918,0.004665880245933044
b'data/refs/9.fa',98911.0,0.98911,0.008440294701112896
b'data/refs/35.fa',98881.0,0.98881,0.021461691092804897
b'data/refs/28.fa',98874.0,0.98874,4.990222440418286e-05
b'data/refs/26.fa',98871.0,0.98871,0.003937401406086125
b'data/refs/4.fa',98851.0,0.98851,0.01853906898690508
b'data/refs/61.fa',98846.0,0.98846,0.008569640283016692
b'data/refs/38.fa',98755.0,0.98755,0.006639328335017425
b'data/refs/33.fa',98718.0,0.98718,0.0014832343552632105
b'data/refs/24.fa',98671.0,0.98671,0.020349919527972677
b'data/refs/41.fa',98664.0,0.98664,0.00558189187485378
b'data/refs/5.fa',98580.0,0.9858,0.01484448138481376
b'data/refs/34.fa',98521.0,0.98521,0.008177557884497585
b'data/refs/32.fa',98465.0,0.98465,0.016614487005046225
b'data/refs/49.fa',98439.0,0.98439,0.004469607751533922
b'data/refs/23.fa',97660.0,0.9766,0.011650280264060738
b'data/refs/27.fa',96861.0,0.96861,0.014278204518970683
b'data/refs/46.fa',96818.0,0.96818,0.015180763165771114
b'data/refs/45.fa',96815.0,0.96815,0.016742720961882084
b'data/refs/47.fa',96529.0,0.96529,0.01544492706372983
b'data/refs/16.fa',95957.0,0.95957,0.009662515842344706
b'data/refs/44.fa',94946.0,0.94946,0.013205820132613623
b'data/refs/63.fa',93988.0,0.93988,0.01473681875350519
b'data/refs/58.fa',93297.0,0.93297,0.006281762380986123
b'data/refs/6.fa',92408.0,0.92408,0.015043089537798928
b'data/refs/7.fa',89790.0,0.8979,0.025748481307557216
b'data/refs/17.fa',75916.0,0.75916,0.0083722102135904
b'data/refs/55.fa',73653.0,0.73653,0.004181091845390536
b'data/refs/19.fa',60745.0,0.60745,0.006119548526172888
b'data/refs/20.fa',13025.0,0.13025,0.000829317938086555
b'data/refs/66.fa',12678.0,0.12678,0.0011959337206636374
b'data/refs/67.fa',12564.0,0.12564,0.0007712122967260089
b'data/refs/64.fa',1786.0,0.01786,0.00013768530162403846
b'data/refs/65.fa',1039.0,0.01039,0.00016167317327710803
