,genome bp,missed,percent missed,coverage,unique_mapped_coverage,covered_bp,genome_id,sample_id
GCA_010669205,6197116,481600,7.771356869873018,25.58281384437535,27.738469282563464,5715516.0,GCA_010669205,p8808mo11
GCA_000433395,5587080,12402,0.22197641701926588,15.863898673367842,15.899191128169196,5574678.0,GCA_000433395,p8808mo11
GCA_012980355,5136199,32504,0.6328415234690089,49.93771230437138,50.25575156822654,5103695.0,GCA_012980355,p8808mo11
GCA_001405335,5514222,516117,9.35974286127762,41.87265801050447,46.19653488672207,4998105.0,GCA_001405335,p8808mo11
GCA_011317135,6305034,1119821,17.760744827069924,10.25341068739677,12.467781554971802,5185213.0,GCA_011317135,p8808mo11
GCA_000189615,4916964,302383,6.149790805871265,23.481038909375787,25.019697996416145,4614581.0,GCA_000189615,p8808mo11
GCA_000183585,4099852,169252,4.128246580608276,96.83782195064602,101.00766753167454,3930600.0,GCA_000183585,p8808mo11
GCA_001059475,3121288,5602,0.17947719018559005,17.889643313914,17.92180887290953,3115686.0,GCA_001059475,p8808mo11
GCA_000433055,3140661,44549,1.4184593625354662,44.27116743895632,44.90817160361124,3096112.0,GCA_000433055,p8808mo11
GCA_004343035,3167958,221761,7.000124370335718,12.915149758929886,13.88727637697004,2946197.0,GCA_004343035,p8808mo11
GCA_001949465,3521770,593260,16.845506662842833,11.368123415214509,13.67108734475894,2928510.0,GCA_001949465,p8808mo11
GCA_001406815,3334694,360583,10.813076102335026,244.20315507209958,273.81049194196186,2974111.0,GCA_001406815,p8808mo11
GCA_002865285,3072153,373638,12.16208958342895,227.43316202025093,258.9236935870284,2698515.0,GCA_002865285,p8808mo11
GCA_000242155,5668091,2424790,42.779658971600846,9.65846578680547,16.879427163867923,3243300.9999999995,GCA_000242155,p8808mo11
GCA_902362985,3257633,480195,14.740610744058646,10.90385534527677,12.78903759507863,2777438.0,GCA_902362985,p8808mo11
GCA_900066185,3017817,382724,12.682147393297871,24.05887666482096,27.553216148348465,2635093.0,GCA_900066185,p8808mo11
GCA_900066685,3141706,369174,11.750749433587993,15.888155670836163,18.0037287216162,2772532.0,GCA_900066685,p8808mo11
GCA_005844125,3726442,776160,20.828447081693476,16.99616604793527,21.467516325558034,2950282.0,GCA_005844125,p8808mo11
GCA_002160695,2823132,444541,15.746376719189893,10.714475979160733,12.716931998817786,2378591.0,GCA_002160695,p8808mo11
GCA_004683745,2625535,347853,13.248842616838092,18.174774284098287,20.950468941669644,2277682.0,GCA_004683745,p8808mo11
GCA_902363725,2855693,541757,18.971121895806025,76.73471413068562,94.70045238934871,2313936.0,GCA_902363725,p8808mo11
GCA_900540465,2458610,598800,24.35522510686933,4.681825503028134,6.1892252434388455,1859810.0,GCA_900540465,p8808mo11
GCA_000432335,2881161,979608,34.00046023113599,4.673147734541735,7.080576244785183,1901553.0,GCA_000432335,p8808mo11
GCA_002005185,2178518,230620,10.586095685231887,32.28022444616019,36.10201868886359,1947898.0,GCA_002005185,p8808mo11
GCA_900555025,2112367,617263,29.221390033076638,34.032232088458116,48.0826511065451,1495104.0,GCA_900555025,p8808mo11
GCA_003284655,3609629,2096941,58.09297853048056,3.117905745992178,7.440055715388764,1512688.0,GCA_003284655,p8808mo11
GCA_009712365,3268334,1935541,59.221028205807606,3.853908443873851,9.450724906268263,1332793.0000000002,GCA_009712365,p8808mo11
GCA_902859015,2252923,708640,31.454248547331623,4.610440747420129,6.726078056936455,1544282.9999999998,GCA_902859015,p8808mo11
GCA_000179755,2151913,651599,30.279988085020165,7.837418148410275,11.24127482646966,1500314.0,GCA_000179755,p8808mo11
GCA_900542375,1947109,1068429,54.8725828908397,2.185269032190802,4.8424420721992085,878679.9999999999,GCA_900542375,p8808mo11
GCA_900013605,4771473,3578713,75.00226869145021,4.391690364799298,17.568355746336234,1192759.9999999998,GCA_900013605,p8808mo11
GCA_010604095,2173350,830240,38.20093404191686,4.377875169668944,7.0840474719122035,1343109.9999999998,GCA_010604095,p8808mo11
GCA_900549765,3436851,2531158,73.64759193808518,0.8042533703090416,3.0519160466074053,905692.9999999998,GCA_900549765,p8808mo11
GCA_001808725,2093215,933440,44.59360361931287,6.195560417826167,11.182030997391736,1159775.0,GCA_001808725,p8808mo11
GCA_902167545,2402824,1361194,56.649758783831025,3.4461666772098165,7.949590545587205,1041629.9999999999,GCA_902167545,p8808mo11
GCA_900011355,4197751,3239464,77.17141869539189,3.1636843157204892,13.858435938294061,958286.9999999999,GCA_900011355,p8808mo11
GCA_000180075,2022289,674379,33.34731089374466,4.865102366674595,7.299183921775192,1347910.0,GCA_000180075,p8808mo11
GCA_002160935,3632099,802898,22.1056199183998,14.254924769396428,18.30032507411103,2829201.0,GCA_002160935,p8808mo11
GCA_000215025,2152140,246667,11.461475554564295,32.28021922365645,36.458953236283065,1905473.0,GCA_000215025,p8808mo11
GCA_900764525,1744725,325244,18.641562423877687,41.27072805169869,50.72704108050759,1419481.0,GCA_900764525,p8808mo11
GCA_005845095,2980101,302146,10.138783886854842,16.254607478068696,18.088568329191492,2677955.0,GCA_005845095,p8808mo11
GCA_900217175,3970462,3344447,84.23319502868935,2.3085429353057654,14.641792928284465,626015.0,GCA_900217175,p8808mo11
GCA_001688625,3818478,621988,16.288898351646914,13.16910402521633,15.731609984701969,3196490.0,GCA_001688625,p8808mo11
GCA_003850125,3604770,648905,18.001287183370923,11.806622613925438,14.398546280022938,2955865.0,GCA_003850125,p8808mo11
GCA_900759455,1901334,1310681,68.93481103267496,0.9760320911528432,3.1418836440346536,590652.9999999999,GCA_900759455,p8808mo11
GCA_001405615,3567818,685037,19.200446883781627,217.88497619553465,269.6611154298575,2882781.0,GCA_001405615,p8808mo11
GCA_900447015,5827564,610821,10.481583728638586,38.050789317800714,42.50610198738945,5216743.0,GCA_900447015,p8808mo11
GCA_001405075,2732957,2128953,77.89924978695237,2.962840249590462,13.406061880384899,604004.0000000003,GCA_001405075,p8808mo11
GCA_003434745,5971889,864076,14.469056608386392,12.053772265358582,14.092878889653946,5107813.0,GCA_003434745,p8808mo11
GCA_001405015,3449564,2834144,82.15948450296906,2.6370355789891127,14.781162458158656,615420.0000000003,GCA_001405015,p8808mo11
GCA_000424325,4943165,1335085,27.00870798365015,24.38983202057791,33.41471475133589,3608080.0,GCA_000424325,p8808mo11
GCA_001431025,2701966,1400154,51.81982304736625,6.607802984937634,13.714775251726056,1301812.0,GCA_001431025,p8808mo11
GCA_900106845,3112481,1051266,33.77582063954768,6.237341850440211,9.418526451631681,2061215.0,GCA_900106845,p8808mo11
GCA_000513015,2595274,276243,10.644078428713115,18.786788215810738,21.024670649077134,2319031.0,GCA_000513015,p8808mo11
GCA_013303985,5248276,686960,13.089250641544004,23.98701706998641,27.599597572279578,4561316.0,GCA_013303985,p8808mo11
GCA_900447045,3627436,2164116,59.65966043232741,3.8993299950708984,9.666081239920182,1463319.9999999998,GCA_900447045,p8808mo11
GCA_900759275,3237357,1960938,60.57218898008468,4.2387802766268905,10.750737022874151,1276418.9999999998,GCA_900759275,p8808mo11
GCA_002159775,2632364,394002,14.96761086232755,11.310796303246816,13.301750565815539,2238362.0,GCA_002159775,p8808mo11
GCA_013300925,2774987,497230,17.918282139700114,78.46624506709401,95.59527640569209,2277757.0,GCA_013300925,p8808mo11
GCA_000371545,6033914,1348386,22.346788502454626,33.47526099974245,43.10866267366239,4685528.0,GCA_000371545,p8808mo11
GCA_000244855,3793219,471354,12.426226906487603,42.0557115210063,48.02318095407249,3321865.0,GCA_000244855,p8808mo11
GCA_900766315,3926186,3441369,87.6517057520963,0.4297934433060482,3.480589583286065,484817.0,GCA_900766315,p8808mo11
GCA_001071295,2277235,1122270,49.28213381578976,4.312622105316316,8.503161567666554,1154965.0,GCA_001071295,p8808mo11
GCA_002865385,3060122,516088,16.86494852166025,205.11831162286992,246.72903664023357,2544034.0,GCA_002865385,p8808mo11
GCA_000433835,2961274,330070,11.146216121844855,13.24937374927143,14.91143446118203,2631204.0,GCA_000433835,p8808mo11
GCA_902810435,2146482,236545,11.02012502317746,31.87120180835432,35.818438513940514,1909937.0,GCA_902810435,p8808mo11
GCA_901212615,3923577,758617,19.334831456092235,11.823148366911113,14.657067703857237,3164960.0,GCA_901212615,p8808mo11
GCA_900540565,2324284,1918458,82.53974127086019,0.4837532762777698,2.770596265394529,405825.99999999994,GCA_900540565,p8808mo11
GCA_003605975,2189293,714801,32.649855455619694,7.625741734888843,11.322532099190772,1474492.0,GCA_003605975,p8808mo11
GCA_002161525,3290783,518348,15.75150959513283,14.146530172302459,16.79143460531987,2772435.0,GCA_002161525,p8808mo11
GCA_000508985,3446523,1474124,42.77133795422227,9.965627967664803,17.41370077758101,1972399.0000000002,GCA_000508985,p8808mo11
GCA_902374605,4907161,871579,17.76136955767296,79.68725358715558,96.89759320960395,4035582.0,GCA_902374605,p8808mo11
GCA_902363795,7470188,2114525,28.30618185245137,15.340901862175356,21.397802849059023,5355663.0,GCA_902363795,p8808mo11
GCA_001679455,2125877,1765870,83.06548309238964,1.614634336793709,9.534575716583289,360007.0,GCA_001679455,p8808mo11
GCA_009856565,1948689,889357,45.63873455435937,4.31878098557543,7.944592441274311,1059332.0,GCA_009856565,p8808mo11
GCA_009718425,3596207,735232,20.44465182343508,215.36210540716928,270.7072627338582,2860975.0,GCA_009718425,p8808mo11
GCA_011062745,3360461,505512,15.042936073354221,11.628257849146292,13.68721717971144,2854949.0,GCA_011062745,p8808mo11
GCA_003434525,3127194,1480042,47.32811587640549,28.401402343442715,53.92137155526629,1647152.0000000002,GCA_003434525,p8808mo11
GCA_000451045,6911196,5872544,84.97145790685143,1.4791554168048482,9.84230810704644,1038652.0000000008,GCA_000451045,p8808mo11
GCA_002871975,2107861,1803689,85.56963670754381,1.626496718711528,11.271349762634298,304172.00000000006,GCA_002871975,p8808mo11
GCA_002096765,2107278,1680691,79.7564915497623,3.1330284850883463,15.476706978881213,426587.00000000006,GCA_002096765,p8808mo11
GCA_000435835,3093482,2767279,89.4551511856219,0.3078181802900421,2.919133177806457,326202.99999999977,GCA_000435835,p8808mo11
GCA_900757715,2570820,785781,30.56538380750111,25.63184003547506,36.915074124430895,1785039.0,GCA_900757715,p8808mo11
GCA_003467385,6740239,2195823,32.57782105352644,8.165176635427914,12.110520251667102,4544416.0,GCA_003467385,p8808mo11
GCA_002893375,37400776,36678346,98.06840906188684,2.1815393349057786,112.9400274074995,722430.0000000013,GCA_002893375,p8808mo11
GCA_900543325,3186188,2777717,87.17994669492195,0.44762393179561283,3.491591814351571,408471.00000000023,GCA_900543325,p8808mo11
GCA_000448685,2100988,643033,30.606219550040265,4.779379035006388,6.887330541751974,1457955.0000000002,GCA_000448685,p8808mo11
GCA_000526735,3724077,1102737,29.611015024662485,161.4041108709621,229.30308048555315,2621340.0000000005,GCA_000526735,p8808mo11
GCA_001078415,3037525,285737,9.406902000806578,16.293807622982527,17.985705294157835,2751788.0,GCA_001078415,p8808mo11
GCA_001070095,1916254,1528676,79.77418442440303,1.7753324976751517,8.777557033680962,387578.0,GCA_001070095,p8808mo11
GCA_902363185,4030172,888833,22.054468146768922,11.785735199390993,15.120475695236967,3141339.0,GCA_902363185,p8808mo11
GCA_003479915,4726865,4178125,88.39103718849597,12.775106122133803,110.0451980901702,548740.0,GCA_003479915,p8808mo11
GCA_000699845,5420066,5074525,93.62478242884865,0.4179124387046209,6.555265511183911,345541.0,GCA_000699845,p8808mo11
GCA_000154305,3606936,801538,22.222129807681643,10.278512843033534,13.21521509603985,2805398.0,GCA_000154305,p8808mo11
GCA_009678825,2521220,2306492,91.48317084586034,2.561763749295976,30.0788439327894,214727.99999999994,GCA_009678825,p8808mo11
GCA_900756445,2993332,1034073,34.54588398480356,52.77364756064479,80.62693497898951,1959259.0,GCA_900756445,p8808mo11
GCA_000980625,4890836,1668206,34.108810845426014,12.540982768590073,19.03286756469095,3222630.0000000005,GCA_000980625,p8808mo11
GCA_000758945,1527867,1214867,79.51392365958556,2.3920092521142218,11.676268370607026,312999.9999999999,GCA_000758945,p8808mo11
